nick,country,teams,maps_played,rounds_played,kd_difference,kd_ratio,total_kills,headshot_percentage,total_deaths,kills_per_round,deaths_per_round
ZywOo,France,"['Vitality', 'aAa']",970,25491,5917,1.38,21602,41.3,15685,0.85,0.62
s1mple,Ukraine,['Natus Vincere'],1532,40464,8864,1.34,34647,41.3,25783,0.86,0.64
sh1ro,Russia,"['Gambit Youngsters', 'Gambit']",847,22465,5361,1.45,17320,27.9,11959,0.77,0.53
deko,Russia,['1WIN'],378,10219,2225,1.37,8219,36.9,5994,0.8,0.59
Kaze,Malaysia,"['ViCi', 'Flash', 'MVP.karnal']",829,21617,4118,1.32,16957,30.3,12839,0.78,0.59
degster,Russia,"['Spirit', 'Espada']",661,17582,3226,1.3,13820,34.8,10594,0.79,0.6
smooya,United Kingdom,"['BIG', 'Movistar Riders', 'Epsilon']",860,22747,3775,1.27,17883,27.7,14108,0.79,0.62
sterling,New Zealand,"['Looking For Org', 'AVANT', 'Dire Wolves']",844,21625,3970,1.31,16815,31.5,12845,0.78,0.59
XANTARES,Turkey,"['Eternal Fire', 'Space Soldiers', 'BIG']",1725,45404,6135,1.2,36911,53.3,30755,0.81,0.68
torzsi,Hungary,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",428,11450,1822,1.26,8946,29.2,7124,0.78,0.62
DANK1NG,China,"['TYLOO', 'EHOME']",374,9935,1597,1.25,7867,39.7,6270,0.79,0.63
device,Denmark,"['Astralis', 'TSM']",1793,46666,7208,1.25,36293,35,29085,0.78,0.62
SENSEi,Ukraine,"['Run or Die', 'CR4ZY', 'Project X', 'Akuma']",427,11298,2090,1.33,8421,31.4,6331,0.75,0.56
NiKo,Bosnia and Herzegovina,"['G2', 'FaZe', 'MOUZ']",1596,42408,5428,1.19,33800,50.5,28372,0.8,0.67
BnTeT,Indonesia,"['TYLOO', 'Gen.G', 'EXTREMUM']",1016,26493,3841,1.23,20329,39.8,16488,0.77,0.62
coldzera,Brazil,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1410,36822,5672,1.25,28326,49.4,22654,0.77,0.62
XigN,Korea,"['NKT', 'MVP PK', 'MVP Project']",694,17953,2392,1.2,14100,52.3,11708,0.79,0.65
Sico,New Zealand,"['Renegades', 'Grayhound', 'ORDER', 'Kings']",888,22524,3782,1.29,16985,35.2,13203,0.75,0.59
blameF,Denmark,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",834,22326,3429,1.25,16962,39.2,13533,0.76,0.61
KSCERATO,Brazil,['FURIA'],890,23120,3730,1.28,17117,49.6,13387,0.74,0.58
Benkai,Singapore,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,2046,1.2,12164,46.7,10118,0.78,0.65
Jame,Russia,"['AVANGAR', 'Virtus.pro']",1154,30609,5191,1.31,22028,25.2,16837,0.72,0.55
XELLOW,Romania,['Nexus'],1054,27629,3258,1.18,21580,40.8,18322,0.78,0.66
Texta,Australia,"['Chiefs', 'Athletico', 'Dark Sided']",625,15713,1750,1.16,12510,40.3,10760,0.8,0.68
mhL,Poland,"['MOUZ NXT', 'AGO']",458,12268,1592,1.2,9397,28.4,7805,0.77,0.64
El1an,Russia,"['Entropiq', 'Winstrike', 'EPG']",1262,33663,4681,1.23,25346,27.2,20665,0.75,0.61
oskar,Czech Republic,"['MOUZ', 'SINNERS', 'HellRaisers']",1458,38450,4848,1.2,29326,30.5,24478,0.76,0.64
kennyS,France,"['G2', 'Envy', 'Titan']",1852,48898,6331,1.21,37067,31.2,30736,0.76,0.63
frozen,Slovakia,"['MOUZ', 'eXtatus']",1168,30540,3450,1.17,23231,54.8,19781,0.76,0.65
huNter-,Bosnia and Herzegovina,"['G2', 'Valiance', 'Binary Dragons']",1433,37829,4137,1.16,29347,49.4,25210,0.78,0.67
mantuu,Poland,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",682,18286,2345,1.21,13659,35.8,11314,0.75,0.62
yuurih,Brazil,['FURIA'],982,25589,3107,1.19,19381,44.4,16274,0.76,0.64
erkaSt,Mongolia,"['Grayhound', 'TIGER', 'Immunity']",859,22286,2504,1.17,17206,50.2,14702,0.77,0.66
Freeman,Hong Kong,"['ViCi', 'TYLOO', 'VG.Flash']",742,18909,2151,1.18,14338,49.3,12187,0.76,0.64
INS,Australia,"['Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",932,23654,2654,1.17,17975,42.4,15321,0.76,0.65
